,id,name,icd9,icd10,medications
5,1776,Arthritis,"['710', '719']","['M00', 'm00', 'M25', 'm20']","['Ibuprofen', ' paracetamol (acetaminophen)']"
12,4531,Bipolar disorder,['324.0'],"['Q273', 'q20', 'Q280', 'q20', 'Q282', 'q20']","['Lithium (medication)|Lithium', ' antipsychotics', ' anticonvulsants']"
13,4581,Bacterial vaginosis,['616.1'],['N76'],['Clindamycin or metronidazole']
14,4746,Plague (disease),['020'],['A20'],['Gentamicin and a fluoroquinolone']
19,5876,Coronary artery disease,['780.0'],"['R402', 'r40']","['Aspirin', ' beta blockers', ' Medical use of nitroglycerin|nitroglycerin', ' statins']"
21,7012,Chagas disease,['243'],"['E00', 'e00']","['Benznidazole', ' nifurtimox']"
23,7038,Candidiasis,['112'],"['B37', 'b35']","['Clotrimazole', ' nystatin', ' fluconazole']"
36,10528,Essential tremor,['333.1'],"['G250', 'g20']","['Beta blockers; propranolol', ' nadolol', ' timolol', ' primidone', ' anti-epileptics; topiramate', ' gabapentin', '  levetiracetam; benzodiazepines']"
41,13492,Hyperthyroidism,['240.9'],"['E01', 'e00', 'E05', 'e00']","['Beta blockers', ' methimazole']"
45,15354,Interstitial cystitis,['595.1'],"['N301', 'n30']","['Ibuprofen', ' pentosan polysulfate', ' amitriptyline']"
57,18998,Myasthenia gravis,"['359.0', '359.1']","['G710', 'g70']","['Acetylcholinesterase inhibitors (neostigmine', ' pyridostigmine)', ' immunosuppressants']"
59,20423,Malaria,"['359.0', '359.1']","['G710', 'g70']",['Antimalarial medication']
61,21035,Migraine,"['359.0', '359.1']","['G710', 'g70']","['Ibuprofen', ' paracetamol (acetaminophen)', ' triptans', ' ergotamines<ref name=Bart10/>']"
64,22461,Osteoporosis,['733.0'],"['M80', 'm80', 'M82', 'm80']",['Bisphosphonates<ref name=Wells2008/>']
67,23251,Phenylketonuria,['270.1'],"['E700', 'e70']",['Sapropterin dihydrochloride']
68,23337,Phobia,['300.2'],['F40'],"['Antidepressants', ' benzodiazepines', ' beta-blockers']"
77,25161,Idiopathic intracranial hypertension,['348.2'],"['G932', 'g90']",['Acetazolamide']
79,25875,Rheumatoid arthritis,"['E927.1', 'E927.3', 'E927.9', '727.2']","['M70', 'X50', 'Z57']","['Analgesics|Pain medications', ' glucocorticoid|steroids', ' Nonsteroidal anti-inflammatory drugs', ' disease-modifying antirheumatic drugs']"
86,27790,Schizophrenia,"['345.9', '780.3']","['G40', 'g40', 'P90', 'p90', 'R56', 'r56']",['Antipsychotics']
91,28649,Stevens–Johnson syndrome,['307.0'],"['F985', 'f90']","['Pain medication', ' antihistamines', ' antibiotics', ' corticosteroids', ' intravenous immunoglobulins']"
92,28848,Scabies,['307.0'],"['F985', 'f90']","['Permethrin', ' crotamiton', ' lindane', ' ivermectin']"
94,29500,Serotonin syndrome,['307.0'],"['F985', 'f90']","['Benzodiazepines', ' cyproheptadine']"
114,37284,Brain tumor,"['191', '225.0']","['C71', 'D33']","['Anticonvulsants', ' dexamethasone', ' furosemide']"
122,38390,Dementia,['066.4'],['A923'],['Acetylcholinesterase inhibitor|Cholinesterase inhibitors (small benefit)<ref name=Kav2007/>']
133,44700,Leprosy,['125.7'],['R56'],"['Rifampicin', ' dapsone', ' clofazimine']"
134,44738,Diabetes insipidus,"['253.5', '588.1']","['E232', 'e20', 'N251', 'n25']","['Desmopressin', ' thiazides', ' aspirin']"
136,45475,Marfan syndrome,"['253.5', '588.1']","['E232', 'e20', 'N251', 'n25']","['Beta blockers', ' calcium channel blockers', ' ACE inhibitors<ref name=NORD2017/>']"
140,46253,Fever,['780.6'],"['R50', 'r50']","['Ibuprofen', ' paracetamol (acetaminophen)<ref name=Ric2015/>']"
145,47878,Huntington's disease,"['307.4', '327', '780.5']","['F40', 'f40', 'F40', 'f40']",['Tetrabenazine']
147,49364,Turner syndrome,"['307.4', '327', '780.5']","['F40', 'f40', 'F40', 'f40']","['Human growth hormone', ' estrogen replacement therapy']"
149,49611,Menopause,['627.2'],"['N950', 'N80']","['Menopausal hormone therapy', ' clonidine', ' gabapentin', ' selective serotonin reuptake inhibitors<ref name=NIH2013Tx/>']"
153,50605,Cerebral palsy,['216'],"['D22', 'd10']","['Diazepam', ' baclofen', ' botulinum toxin']"
159,52135,Pneumonia,['790.6'],"['R798', 'r70']","['Antibiotics', ' antivirals', ' oxygen therapy<ref name=NIH2011Tx/>']"
168,54301,Polycystic ovary syndrome,['180'],"['C53', 'c51']","['Birth control pills', ' metformin', ' anti-androgens']"
174,54996,Prader–Willi syndrome,['759.8'],"['Q871', 'q80']",['Growth hormone therapy']
175,55313,Allergy,['995.3'],"['T784', 't66']","['Corticosteroid|Steroids', ' Histamine antagonist|antihistamines', ' epinephrine<ref name=Review09/>']"
189,56476,Rett syndrome,['330.8'],"['F842', 'f80']",['Anticonvulsants']
192,56483,Tourette syndrome,['330.1'],"['E750', 'e70']","['Usually none', ' occasionally antipsychotics']"
200,57688,Anxiety disorder,['271.3'],"['E73', 'e70']","['Antidepressants', ' anxiolytics', ' beta blockers']"
209,59171,Mumps,['078.8'],['A983'],"['Analgesic|Pain medication', ' intravenous immunoglobulin']"
215,61593,Echinococcosis,['993.3'],"['T703', 't66']",['Albendazole']
217,61970,Trichuriasis,"['090.5', '094.9', '095', '102.6']","['A523', 'a50', 'A527', 'a50']","['Albendazole', ' mebendazole', ' ivermectin']"
220,63522,Crohn's disease,['710.5'],"['M358', 'm30']","['Corticosteroids', ' methotrexate']"
222,63531,Ulcerative colitis,['556'],"['K51', 'k50']","['Sulfasalazine', ' mesalazine', ' corticosteroids|steroids', ' immunosuppressants such as azathioprine', ' Biological therapy for inflammatory bowel disease|biological therapy']"
225,63791,Peptic ulcer disease,['556'],"['K51', 'k50']","['Proton pump inhibitor', ' H2 blocker', ' antibiotics<ref name=Na2011/>']"
226,64976,Attention deficit hyperactivity disorder,"['314.0', '314.0']","['F90', 'f90']","['CNS stimulants|Stimulants', ' atomoxetine', ' guanfacine<ref>{{cite journal | vauthors = Coghill DR', ' Banaschewski T', ' Soutullo C', ' Cottingham MG', ' Zuddas A | title = Systematic review of quality of life and functional outcomes in randomized placebo-controlled studies of medications for attention-deficit/hyperactivity disorder | journal = European Child & Adolescent Psychiatry | volume = 26 | issue = 11 | pages = 1283–1307 | date = November 2017 | pmid = 28429134 | pmc = 5656703 | doi = 10.1007/s00787-017-0986-y }}</ref><ref>{{cite journal | vauthors = Jain R', ' Katic A | title = Current and Investigational Medication Delivery Systems for Treating Attention-Deficit/Hyperactivity Disorder | journal = The Primary Care Companion for CNS Disorders | volume = 18 | issue = 4 | date = August 2016 | pmid = 27828696 | doi = 10.4088/PCC.16r01979 }}']"
238,68937,Trichotillomania,['312.3'],"['F633', 'f60']","['Cognitive behavioral therapy', ' clomipramine']"
246,71491,Hepatitis C,"['174', '175']","['S18', 's10']","['Sofosbuvir', ' simeprevir<ref name=CDC2016 />']"
250,74555,Acne,['078.5'],"['B25', 'b25']","['Azelaic acid', ' benzoyl peroxide', ' salicylic acid', ' antibiotics', ' combined oral contraceptive pill|birth control pills', ' isotretinoin']"
