,UNII,id,name
0,7C782967RD,1912,Ampicillin
1,,4191,BCG vaccine
2,66974FR9Q1,6346,Chloramphenicol
3,KE1SEN21RM,10024,MDMA
4,620X0222FQ,11725,Flunitrazepam
5,6YKS4Y3WQ7,14413,Hydrocodone
6,690G0D6V8H,16948,Ketamine
7,76I7G6D29C,20613,Morphine
8,UC6VBE7V1Z,20962,Methadone
9,CD35PMG570,22799,Oxycodone
10,,23312,Penicillin
11,OBD445WZ5P,31128,Theobromine
12,3M7OB98Y7H,32565,Sildenafil
13,RHO99102VC,42052,Mescaline
14,J60AR2IKIC,43961,Clozapine
15,6158TKW0C5,48392,Phenytoin
16,5VOM6GYJ0D,57761,Valproate
17,,63692,Alpha-Methyltryptamine
18,,69149,MMR vaccine
19,K72T3FS567,89108,Adenosine
20,36B82AMQ7N,142818,Naloxone
21,T56W91NG6J,143843,Salvinorin A
22,7C0697DR9I,145159,Atropine
23,U42B7VYA4P,148980,Chlorpromazine
24,83HN0GTJ6D,152389,Ciclosporin
25,WK2XYI10QM,155627,Ibuprofen
26,,158750,Wikipedia:Chemical infobox
27,320T6RNW1F,181415,Mifepristone
28,,183993,Thyrotropin-releasing hormone
29,J6292F8L3D,185263,Haloperidol
30,6UKA5VEJ6X,185385,Ziprasidone
31,N7U69T4SZR,185388,Olanzapine
32,9Y8NXQ24VQ,185848,Propranolol
33,H1250JIK0A,186383,Clarithromycin
34,V867Q8X3ZD,186647,Diethylcarbamazine
35,,191103,Emergency!
36,,192198,Polio vaccine
37,4O4S742ANY,201304,Escitalopram
38,0DHU5B8D6V,201310,Citalopram
39,1JQS135EYN,222300,Oxytocin
40,PX44XO846X,226959,Hyoscyamine
41,Q3JTX2Q7TU,234806,Diazepam
42,T2410KM04A,238115,Heparin
43,,238790,Methylene blue
44,CHB1QD2QSS,239812,Temazepam
45,,242717,Wikipedia:Manual of Style/Accessibility/Alternative text for images
46,O26FZP769L,244115,Lorazepam
47,39J1LGJ30J,250858,Tramadol
48,T6Z9V48IKG,254717,Gentamicin
49,YL5FZ2Y5U1,286517,Methotrexate
50,0H73WJJ391,288328,Topiramate
51,,290174,Methcathinone
52,731DCA35BT,294975,Diethylstilbestrol
53,4Z8Y51M438,298600,Procaine
54,,300445,Human chorionic gonadotropin
55,O408N561GF,309849,Phenelzine
56,82VFR53I78,311330,Aripiprazole
57,2Z07MYW1AZ,332389,Anastrozole
58,E90NZP2L9U,334966,Digitoxin
59,GVV4Z879SP,336870,Sertindole
60,,346814,Tetrahydrogestrinone
61,U3H27498KS,356050,Lamotrigine
62,WYQ7N0BPYC,360725,Acetylcysteine
63,SML2Y3J35T,365662,Colchicine
64,SW1TF3RGAH,366662,Acetazolamide
65,,376664,Dexbrompheniramine/pseudoephedrine
66,L4YEB44I46,383611,Metoclopramide
67,,395283,Myristicin
68,8GTS82S83M,412096,Diphenhydramine
69,,415388,Olestra
70,7AJO3BO7QN,416246,Loratadine
71,LER583670J,416258,Loxapine
72,V77772N32H,428629,2C-B
73,X0MKX3GWU9,464571,5-MeO-DMT
74,409J2J96VR,467035,Androstenedione
75,C24W7J5D5R,470003,Androsterone
76,TZ47U051FI,471852,Dextroamphetamine
77,,477500,Syrup of ipecac
78,RP4A60D26L,481828,Pentazocine
79,KG60484QX9,486876,Omeprazole
80,I76F4SHP7J,501020,Cyclopentolate
81,MRK240IY2L,504543,Azathioprine
82,A051Q2099Q,527555,Mirtazapine
83,W36ZG6FT64,529476,Sirolimus
84,9HW64Q8G6G,530396,Everolimus
85,WI4X0X7BPJ,530525,Hydrocortisone
86,9927MT646M,530538,Basiliximab
87,CUJ2MVI71Y,530541,Daclizumab
88,,530642,Anti-thymocyte globulin
89,U3RSY48JW5,530862,Benzocaine
90,,536557,Melanocyte-stimulating hormone
91,RIX4E89Y14,538058,Levofloxacin
92,0J48LPH2TH,547154,Hydrochlorothiazide
93,H57G17P2FN,581412,Brompheniramine
94,1806D8D52K,583678,Amitriptyline
95,,597400,Oxycodone/aspirin
96,I66ZZ0ZN0E,597793,Troglitazone
97,V83O1VOZ8L,599463,Isoniazid
98,8R78F6L9VO,600236,Sumatriptan
99,05V02F2KDG,604046,Rosiglitazone
100,X4OV71U42S,606999,Pioglitazone
101,E1L4ZW2F8O,609980,Cathine
102,540EI4406J,610188,Cathinone
103,P188ANX8CK,614750,Trastuzumab
104,U8QXS1WU8G,616881,Ciglitazone
105,9E338QE28F,617611,Pethidine
106,X4HES1O11F,619594,Aciclovir
107,,621512,Ergoline
108,PR834Q503T,621531,Ergotamine
109,70FP3JLY7N ,622273,Edrophonium
110,01MI4Q9DI3,622284,Pilocarpine
111,3A64E3G5ZO,622880,Bromocriptine
112,24MJ822NZ9,622942,Pergolide
113,R4Z9X1N2ND,631040,Dofetilide
114,9PHQ9Y1OLM,634316,Prednisolone
115,AGG2FN16EV,635659,Simvastatin
116,3U02EL437C,635885,Clindamycin
117,4L066368AS,636555,Fluvastatin
118,413KH5ZJ73,636587,Rosuvastatin
119,KXO2KT9N0G,636957,Pravastatin
120,9LHU78OQFD,637009,Lovastatin
121,AM91H2KS67,637177,Cerivastatin
122,5688UTC01R,637902,Tretinoin
123,ITX08688JL,640411,Quinidine
124,1J444QC288,644492,Amlodipine
125,R60L0SM5BC,646748,Midazolam
126,,647283,Lidocaine/prilocaine
127,0QTW8Z7MCR,648807,Rofecoxib
128,JCX84Q7J1L,648828,Celecoxib
129,2919279Q3W,648845,Valdecoxib
130,UCE6F4125H,649250,Vardenafil
131,,649498,Oxycodone/paracetamol
132,D8TST4O562,650342,Pantoprazole
133,JB937PER5C,652948,Dimenhydrinate
134,N3RQ532IUT,657262,Amiodarone
135,8W5C518302,660116,Dapsone
136,334895S862,660870,Doxycycline
137,3U6IO1965U,665594,Chlorphenamine
138,CRS35BZ94Q,668634,Desflurane
139,04079A1RDZ,674830,Cytarabine
140,5W7SIA7YZW,675277,Levonorgestrel
141,J2KLZ20U1M,683026,Azithromycin
142,44YRR34555,685428,Levetiracetam
143,ZH516LNZ10,685491,Piracetam
144,V47IF0PVH4,692601,Fludrocortisone
145,XJZ28FJ27W,692929,"3,4-Methylenedioxyamphetamine"
146,H82Q2D5WA7,692988,Frovatriptan
147,,693170,Lithium orotate
148,G2B4VE5GH8,695438,Aztreonam
149,,697584,Zinc pyrithione
150,21925K482H,703651,Carisoprodol
151,69PN84IO1A,711593,Enalapril
152,50VV3VW0TI,712313,Atenolol
153,927AH8112L,714824,Nitrofurantoin
154,I9ZF7L6G2L,716779,Nifedipine
155,21KOF230FA,720440,Roxithromycin
156,F64QU97QCR,722415,Dantrolene
157,KI8H7H19WL,722620,Telithromycin
158,EE92BBP03H,724723,Diltiazem
159,5PE9FDE8GB,724730,Clonazepam
160,F089I0511L,725051,Indapamide
161,Q8X02027X3,725067,Gemfibrozil
162,5QZO15J2Z8,725069,Famotidine
163,9RMU91N5K2,727067,Artemisinin
164,CUT2W21N7U,729690,Fluticasone
165,8SSC91326P,730754,Donepezil
166,6PG9VR430D,731746,Nandrolone
167,OP401G7OJC,732438,Etanercept
168,BDF1O1C72E,732444,Nystatin
169,27O7W4T232,732656,Spironolactone
170,6032D45BEM,732808,Suramin
171,30S50YM8OG,733497,Hydroxyzine
172,K94FTS1806,733981,Flecainide
173,004F72P8F4,742643,Bethanechol
174,8Y164V895Y,742666,Carbachol
175,3982TWQ96G,743387,Neostigmine
176,9U1VM840SP,743397,Physostigmine
177,10T9CSU89I,743963,Teriparatide
178,19QM69HH21,745262,Pyridostigmine
